iter	Logloss
0	0.5672220007
1	0.4756881884
2	0.4058832853
3	0.3538628121
4	0.3155234286
5	0.2859672139
6	0.2643756501
7	0.2478749886
8	0.2350263264
9	0.2252842139
10	0.2176749108
11	0.2118256198
12	0.2071081802
13	0.2035863555
14	0.2008406837
15	0.1987146509
16	0.1969456193
17	0.1954572012
18	0.1941922856
19	0.1931613075
20	0.1923216742
21	0.1917142314
22	0.1910559236
23	0.1906197579
24	0.190286227
25	0.1899412905
26	0.189662194
27	0.1893699251
28	0.189046748
29	0.188827649
30	0.1886424001
31	0.1884707345
32	0.1882647713
33	0.1880898088
34	0.1879530858
35	0.1878186128
36	0.1876874951
37	0.1876075869
38	0.1875020921
39	0.1874146323
40	0.1873004193
41	0.1871840872
42	0.1870606196
43	0.1870033981
44	0.1869190667
45	0.1868278051
46	0.1867601567
47	0.186687815
48	0.1866058413
49	0.186485502
50	0.1864361617
51	0.1863863149
52	0.1863650901
53	0.1863311118
54	0.1862812871
55	0.1862461817
56	0.1861749555
57	0.1861021241
58	0.186037931
59	0.1859476747
60	0.1858902449
61	0.1858489028
62	0.1857871891
63	0.1856776377
64	0.185592347
65	0.1854581183
66	0.1853956418
67	0.1853442383
68	0.185332901
69	0.1852782621
70	0.185214547
71	0.1851584394
72	0.1851181691
73	0.1850848933
74	0.1850585949
75	0.1850258125
76	0.1849696394
77	0.1848807891
78	0.1847984528
79	0.1847226883
80	0.1846668565
81	0.1846038328
82	0.1844987378
83	0.1844173919
84	0.1843574846
85	0.1843273063
86	0.1842612328
87	0.1841847261
88	0.1841055974
89	0.184072293
90	0.1840146232
91	0.1839625035
92	0.1838884792
93	0.1838214049
94	0.1837603767
95	0.1837268529
96	0.1836873939
97	0.1835991495
98	0.1835355415
99	0.1835104213
100	0.1834891881
101	0.1834632201
102	0.1834051176
103	0.1833862209
104	0.1832935821
105	0.1832385585
106	0.1831685452
107	0.1830810331
108	0.1830563465
109	0.1830014114
110	0.182937614
111	0.1828727859
112	0.1827937137
113	0.1827532567
114	0.1826959045
115	0.1826229188
116	0.182596027
117	0.1825464818
118	0.1825119767
119	0.1824413029
120	0.1823464765
121	0.1823085974
122	0.1822657548
123	0.1822047562
124	0.1821596207
125	0.1821248272
126	0.1820557246
127	0.1819756357
128	0.1819050359
129	0.1818448247
130	0.1817941401
131	0.1817321315
132	0.1816671659
133	0.1815745202
134	0.1815352105
135	0.1814761053
136	0.1814266354
137	0.1813603731
138	0.1812746872
139	0.1812140306
140	0.1811711919
141	0.181106939
142	0.1810736304
143	0.181022469
144	0.1809572865
145	0.1809079451
146	0.1808624572
147	0.1808022053
148	0.1807374291
149	0.1806571816
150	0.180638714
151	0.1806113259
152	0.1805200916
153	0.1804738089
154	0.1803750458
155	0.1803028844
156	0.1802126574
157	0.1801616417
158	0.1801090423
159	0.180012856
160	0.1799699632
161	0.1799200575
162	0.1798645178
163	0.1798087497
164	0.1797692995
165	0.1797103896
166	0.179680064
167	0.1796352485
168	0.1795861099
169	0.179469013
170	0.1794496294
171	0.1793904653
172	0.1793592657
173	0.1793317605
174	0.179295271
175	0.1792463418
176	0.1792293068
177	0.179183105
178	0.179140094
179	0.1790858526
180	0.1790445886
181	0.1789798328
182	0.1789342748
183	0.1788865408
184	0.1788265578
185	0.1787678282
186	0.1787333274
187	0.1786687093
188	0.1786443086
189	0.1785927975
190	0.1785511339
191	0.1784492564
192	0.1784066377
193	0.1783704963
194	0.178335925
195	0.1782786073
196	0.1782731717
197	0.17822328
198	0.1781856324
199	0.1781286405
200	0.1780729554
201	0.178040834
202	0.1780127524
203	0.1779563178
204	0.1778869016
205	0.1778419197
206	0.1777345636
207	0.1777094277
208	0.1776398008
209	0.1775678852
210	0.1774823335
211	0.1774249781
212	0.1773447542
213	0.1772711475
214	0.1772160043
215	0.1771469166
216	0.1771246339
217	0.1770801833
218	0.1770271065
219	0.1769838557
220	0.1769308996
221	0.1768918435
222	0.1768002198
223	0.1767240763
224	0.1766412631
225	0.1765749661
226	0.176486163
227	0.1764476839
228	0.1764254617
229	0.1763367313
230	0.1762762846
231	0.1762278162
232	0.1761406085
233	0.1760780722
234	0.1760138185
235	0.175963448
236	0.1759378062
237	0.1759126012
238	0.1758876137
239	0.1758532325
240	0.1757727633
241	0.1757439212
242	0.1756959829
243	0.1756483947
244	0.1755789413
245	0.1755346044
246	0.1754555413
247	0.1753905082
248	0.1753094479
249	0.175253176
250	0.1751706292
251	0.1751259061
252	0.1750999536
253	0.1750587671
254	0.175014876
255	0.1749469332
256	0.1749363611
257	0.1748724331
258	0.1748299626
259	0.1747770735
260	0.1746798029
261	0.1746199688
262	0.1745918693
263	0.1745778618
264	0.1745475247
265	0.1745133493
266	0.1744303975
267	0.1743758489
268	0.1743250632
269	0.1742596519
270	0.1742107847
271	0.1741715758
272	0.1741314895
273	0.1740399364
274	0.1739524715
275	0.1739070342
276	0.173850359
277	0.1737894392
278	0.1737293658
279	0.173666814
280	0.1736270847
281	0.1735469725
282	0.1734968632
283	0.1734738445
284	0.1734052518
285	0.1733461029
286	0.1733011574
287	0.1732285355
288	0.1732018731
289	0.1731878719
290	0.1731312897
291	0.1730619135
292	0.1729862915
293	0.1729332128
294	0.1728749717
295	0.1728053128
296	0.1727445316
297	0.1726634952
298	0.1726203126
299	0.1724950953
300	0.1724804215
301	0.1724166946
302	0.1723575729
303	0.1722914753
304	0.1722448705
305	0.1722069992
306	0.1721525266
307	0.1720987394
308	0.1720302312
309	0.1719858361
310	0.1719392179
311	0.1718816792
312	0.1718090962
313	0.1717469576
314	0.1716916936
315	0.1716465873
316	0.1715707524
317	0.1715297618
318	0.171511403
319	0.1714732024
320	0.1714622994
321	0.1714194165
322	0.1713836622
323	0.1713233051
324	0.1712910888
325	0.1712374089
326	0.1712104745
327	0.1711320388
328	0.1710533899
329	0.1710284212
330	0.1709657103
331	0.1709206583
332	0.1709041566
333	0.1708573452
334	0.1708072117
335	0.1707790797
336	0.1707522213
337	0.1706652766
338	0.1706256204
339	0.1705698873
340	0.1705018678
341	0.170452175
342	0.1703777775
343	0.1703367742
344	0.1703036489
345	0.170250255
346	0.1701765229
347	0.1701111196
348	0.1700686047
349	0.1700287494
350	0.1699612695
351	0.1699073219
352	0.169862619
353	0.1698141745
354	0.1697700373
355	0.1697174207
356	0.1696462091
357	0.1696060284
358	0.1695384891
359	0.1694886316
360	0.1694574295
361	0.1694152221
362	0.1693526034
363	0.1693040376
364	0.1692394331
365	0.1692075194
366	0.1691705821
367	0.1691180214
368	0.1690480833
369	0.169007954
370	0.1689611613
371	0.1689013543
372	0.1688231921
373	0.1687672255
374	0.1687033869
375	0.1686509481
376	0.1685962085
377	0.1685415545
378	0.1684989661
379	0.1684381092
380	0.1683809508
381	0.1683261277
382	0.1682878754
383	0.1682163254
384	0.1681727643
385	0.1681178022
386	0.1680728844
387	0.1680535236
388	0.1679836924
389	0.167931464
390	0.1678925695
391	0.16784718
392	0.1678072788
393	0.1677475736
394	0.1676924259
395	0.1675868414
396	0.1675160134
397	0.1674824684
398	0.1674426411
399	0.1673897461
400	0.1673433509
401	0.1672995974
402	0.1672543476
403	0.1672049249
404	0.1671637456
405	0.1671353393
406	0.1670847638
407	0.1670584285
408	0.1670138883
409	0.1669515132
410	0.1669054207
411	0.1668587089
412	0.1668107042
413	0.1667700241
414	0.1667432135
415	0.1667245993
416	0.1666911929
417	0.166672956
418	0.1666149183
419	0.1665666798
420	0.1665045502
421	0.1664414741
422	0.1663989537
423	0.166325597
424	0.1662614574
425	0.1662342157
426	0.1662030105
427	0.1661642847
428	0.1661157488
429	0.1660689399
430	0.1660474567
431	0.1660143787
432	0.1659685668
433	0.1659403561
434	0.165916808
435	0.1658768393
436	0.1658262577
437	0.1657945086
438	0.1657490496
439	0.1657132575
440	0.1656634779
441	0.1656318759
442	0.1655868802
443	0.1655497602
444	0.1655103563
445	0.1654582445
446	0.1654028818
447	0.1653667905
448	0.1653040481
449	0.1652682205
450	0.1652246756
451	0.1651712016
452	0.1651126221
453	0.165068564
454	0.1649976109
455	0.1649504225
456	0.1648646432
457	0.1648188384
458	0.1647864555
459	0.1647568536
460	0.1646848902
461	0.1646605395
462	0.1646115696
463	0.1645535133
464	0.1644895162
465	0.1644637634
466	0.164414232
467	0.1643442894
468	0.1643374011
469	0.1642896465
470	0.1642107787
471	0.1641592474
472	0.1641297498
473	0.1640859863
474	0.1640458528
475	0.1639856355
476	0.1639373991
477	0.1638871669
478	0.163860652
479	0.1638267133
480	0.1637696629
481	0.163719208
482	0.163682596
483	0.1636619423
484	0.1636241768
485	0.1635930558
486	0.1635222574
487	0.1634609314
488	0.1633769058
489	0.1633276313
490	0.1632411452
491	0.163182529
492	0.1631444
