iter	Passed	Remaining
0	3	1563
1	5	1478
2	8	1453
3	11	1454
4	14	1444
5	17	1428
6	20	1427
7	23	1419
8	25	1413
9	28	1411
10	31	1402
11	34	1390
12	36	1384
13	39	1385
14	42	1381
15	45	1374
16	48	1376
17	51	1374
18	54	1369
19	57	1369
20	60	1370
21	62	1360
22	65	1358
23	68	1358
24	71	1355
25	74	1355
26	77	1351
27	80	1350
28	83	1349
29	86	1351
30	89	1359
31	92	1359
32	96	1367
33	100	1381
34	104	1382
35	107	1384
36	110	1382
37	113	1380
38	116	1379
39	119	1374
40	122	1372
41	125	1369
42	128	1364
43	131	1362
44	134	1357
45	137	1357
46	140	1355
47	143	1354
48	146	1349
49	149	1346
50	152	1343
51	155	1338
52	157	1332
53	160	1329
54	163	1326
55	166	1323
56	170	1321
57	173	1318
58	175	1314
59	178	1311
60	181	1307
61	184	1304
62	187	1300
63	190	1300
64	193	1295
65	196	1293
66	199	1289
67	202	1286
68	205	1282
69	208	1279
70	211	1275
71	214	1272
72	217	1270
73	220	1269
74	223	1265
75	226	1261
76	229	1258
77	232	1255
78	235	1252
79	238	1249
80	240	1246
81	243	1243
82	247	1241
83	250	1238
84	252	1234
85	255	1230
86	258	1226
87	261	1222
88	263	1218
89	266	1213
90	269	1210
91	272	1207
92	275	1205
93	278	1201
94	281	1199
95	284	1195
96	286	1192
97	289	1188
98	292	1186
99	295	1181
100	298	1178
101	301	1174
102	304	1173
103	307	1170
104	310	1168
105	313	1165
106	316	1163
107	319	1159
108	322	1156
109	325	1153
110	328	1150
111	331	1147
112	334	1144
113	337	1142
114	340	1140
115	343	1136
116	346	1134
117	349	1131
118	352	1128
119	355	1124
120	357	1120
121	360	1117
122	363	1114
123	366	1110
124	369	1107
125	371	1103
126	374	1099
127	377	1096
128	380	1093
129	383	1091
130	386	1088
131	389	1085
132	392	1082
133	394	1078
134	397	1074
135	400	1072
136	403	1068
137	406	1065
138	409	1062
139	412	1059
140	414	1056
141	417	1053
142	420	1050
